head	relation	tail	pathway
Tgfb1	LRinteraction	Tgfbr1	TGFb
Tgfb1	LRinteraction	Tgfbr2	TGFb
Tgfb2	LRinteraction	Tgfbr1	TGFb
Tgfb2	LRinteraction	Tgfbr2	TGFb
Tgfb3	LRinteraction	Tgfbr1	TGFb
Tgfb3	LRinteraction	Tgfbr2	TGFb
Tgfb1	LRinteraction	Acvr1b	TGFb
Tgfb1	LRinteraction	Acvr1c	TGFb
Tgfb2	LRinteraction	Acvr1b	TGFb
Tgfb2	LRinteraction	Acvr1c	TGFb
Tgfb3	LRinteraction	Acvr1b	TGFb
Tgfb3	LRinteraction	Acvr1c	TGFb
Tgfb1	LRinteraction	Acvr1	TGFb
Tgfb2	LRinteraction	Acvr1	TGFb
Tgfb3	LRinteraction	Acvr1	TGFb
Bmp2	LRinteraction	Bmpr1a	BMP
Bmp2	LRinteraction	Acvr2a	BMP
Bmp2	LRinteraction	Acvr2b	BMP
Bmp2	LRinteraction	Bmpr2	BMP
Bmp2	LRinteraction	Bmpr1b	BMP
Bmp4	LRinteraction	Bmpr1a	BMP
Bmp4	LRinteraction	Acvr2a	BMP
Bmp4	LRinteraction	Acvr2b	BMP
Bmp4	LRinteraction	Bmpr2	BMP
Bmp4	LRinteraction	Bmpr1b	BMP
Gdf5	LRinteraction	Bmpr1a	BMP
Gdf5	LRinteraction	Acvr2a	BMP
Gdf5	LRinteraction	Acvr2b	BMP
Gdf5	LRinteraction	Bmpr2	BMP
Gdf5	LRinteraction	Bmpr1b	BMP
Gdf6	LRinteraction	Bmpr1a	BMP
Gdf6	LRinteraction	Acvr2a	BMP
Gdf6	LRinteraction	Acvr2b	BMP
Gdf6	LRinteraction	Bmpr2	BMP
Gdf6	LRinteraction	Bmpr1b	BMP
Gdf7	LRinteraction	Bmpr1a	BMP
Gdf7	LRinteraction	Acvr2a	BMP
Gdf7	LRinteraction	Acvr2b	BMP
Gdf7	LRinteraction	Bmpr2	BMP
Gdf7	LRinteraction	Bmpr1b	BMP
Bmp15	LRinteraction	Bmpr1b	BMP
Bmp15	LRinteraction	Bmpr2	BMP
Bmp5	LRinteraction	Acvr1	BMP
Bmp5	LRinteraction	Acvr2a	BMP
Bmp5	LRinteraction	Acvr2b	BMP
Bmp5	LRinteraction	Bmpr2	BMP
Bmp5	LRinteraction	Bmpr1a	BMP
Bmp5	LRinteraction	Bmpr1b	BMP
Bmp6	LRinteraction	Acvr1	BMP
Bmp6	LRinteraction	Acvr2a	BMP
Bmp6	LRinteraction	Acvr2b	BMP
Bmp6	LRinteraction	Bmpr2	BMP
Bmp6	LRinteraction	Bmpr1a	BMP
Bmp6	LRinteraction	Bmpr1b	BMP
Bmp7	LRinteraction	Acvr1	BMP
Bmp7	LRinteraction	Acvr2a	BMP
Bmp7	LRinteraction	Acvr2b	BMP
Bmp7	LRinteraction	Bmpr2	BMP
Bmp7	LRinteraction	Bmpr1a	BMP
Bmp7	LRinteraction	Bmpr1b	BMP
Bmp8a	LRinteraction	Acvr1	BMP
Bmp8a	LRinteraction	Acvr2a	BMP
Bmp8a	LRinteraction	Acvr2b	BMP
Bmp8a	LRinteraction	Bmpr2	BMP
Bmp8a	LRinteraction	Bmpr1a	BMP
Bmp8a	LRinteraction	Bmpr1b	BMP
Bmp8b	LRinteraction	Acvr1	BMP
Bmp8b	LRinteraction	Acvr2a	BMP
Bmp8b	LRinteraction	Acvr2b	BMP
Bmp8b	LRinteraction	Bmpr2	BMP
Bmp8b	LRinteraction	Bmpr1a	BMP
Bmp8b	LRinteraction	Bmpr1b	BMP
Bmp10	LRinteraction	Acvrl1	BMP10
Bmp10	LRinteraction	Bmpr2	BMP10
Bmp10	LRinteraction	Acvr2a	BMP10
Gdf2	LRinteraction	Acvrl1	BMP10
Gdf2	LRinteraction	Bmpr2	BMP10
Gdf2	LRinteraction	Acvr2a	BMP10
Gdf9	LRinteraction	Acvr1b	GDF
Gdf9	LRinteraction	Bmpr2	GDF
Gdf10	LRinteraction	Acvr1b	GDF
Gdf10	LRinteraction	Acvr2a	GDF
Gdf11	LRinteraction	Tgfbr1	GDF
Gdf11	LRinteraction	Acvr2a	GDF
Gdf11	LRinteraction	Acvr2b	GDF
Gdf11	LRinteraction	Acvr1b	GDF
Gdf15	LRinteraction	Tgfbr2	GDF
Mstn	LRinteraction	Tgfbr1	MSTN
Mstn	LRinteraction	Acvr2b	MSTN
Mstn	LRinteraction	Acvr1b	MSTN
Mstn	LRinteraction	Acvr2a	MSTN
Amh	LRinteraction	Amhr2	AMH
Amh	LRinteraction	Acvr1	AMH
Amh	LRinteraction	Bmpr1a	AMH
Gdnf	LRinteraction	Gfra1	GDNF
Nrtn	LRinteraction	Gfra2	GDNF
Artn	LRinteraction	Gfra3	GDNF
Pspn	LRinteraction	Gfra4	GDNF
Artn	LRinteraction	Gfra1	GDNF
Nodal	LRinteraction	Acvr1b	NODAL
Nodal	LRinteraction	Acvr2a	NODAL
Nodal	LRinteraction	Acvr1c	NODAL
Nodal	LRinteraction	Acvr2b	NODAL
Gdf1	LRinteraction	Acvr1b	NODAL
Gdf1	LRinteraction	Acvr2a	NODAL
Gdf1	LRinteraction	Acvr2b	NODAL
Gdf1	LRinteraction	Acvr1c	NODAL
Gdf3	LRinteraction	Acvr1b	NODAL
Gdf3	LRinteraction	Acvr2a	NODAL
Gdf3	LRinteraction	Acvr2b	NODAL
Gdf3	LRinteraction	Acvr1c	NODAL
Inhba	LRinteraction	Acvr1b	ACTIVIN
Inhba	LRinteraction	Acvr2a	ACTIVIN
Inhba	LRinteraction	Acvr2b	ACTIVIN
Inhbb	LRinteraction	Acvr1b	ACTIVIN
Inhbb	LRinteraction	Acvr2a	ACTIVIN
Inhbb	LRinteraction	Acvr2b	ACTIVIN
Inhbb	LRinteraction	Acvr1c	ACTIVIN
Inhbc	LRinteraction	Acvr1b	ACTIVIN
Inhbc	LRinteraction	Acvr2a	ACTIVIN
Inhbc	LRinteraction	Acvr2b	ACTIVIN
Inhbc	LRinteraction	Acvr1c	ACTIVIN
Inhbe	LRinteraction	Acvr1b	ACTIVIN
Inhbe	LRinteraction	Acvr2a	ACTIVIN
Inhbe	LRinteraction	Acvr2b	ACTIVIN
Inhbe	LRinteraction	Acvr1c	ACTIVIN
Inhbabb	LRinteraction	Acvr1b	ACTIVIN
Inhbabb	LRinteraction	Acvr2a	ACTIVIN
Inhbabb	LRinteraction	Acvr2b	ACTIVIN
Inhbabb	LRinteraction	Acvr1c	ACTIVIN
Inhb	LRinteraction	Acvr1c	ACTIVIN
Inhb	LRinteraction	Acvr2b	ACTIVIN
Inhaba	LRinteraction	Acvr2a	ACTIVIN
Inhabb	LRinteraction	Acvr2b	ACTIVIN
Wnt1	LRinteraction	Fzd1	WNT
Wnt1	LRinteraction	Lrp5	WNT
Wnt1	LRinteraction	Fzd10	WNT
Wnt1	LRinteraction	Fzd2	WNT
Wnt1	LRinteraction	Fzd3	WNT
Wnt1	LRinteraction	Fzd4	WNT
Wnt1	LRinteraction	Fzd5	WNT
Wnt1	LRinteraction	Fzd6	WNT
Wnt1	LRinteraction	Fzd7	WNT
Wnt1	LRinteraction	Fzd8	WNT
Wnt1	LRinteraction	Fzd9	WNT
Wnt10a	LRinteraction	Fzd1	WNT
Wnt10a	LRinteraction	Lrp5	WNT
Wnt10a	LRinteraction	Fzd10	WNT
Wnt10a	LRinteraction	Fzd2	WNT
Wnt10a	LRinteraction	Fzd3	WNT
Wnt10a	LRinteraction	Fzd4	WNT
Wnt10a	LRinteraction	Fzd5	WNT
Wnt10a	LRinteraction	Fzd6	WNT
Wnt10a	LRinteraction	Fzd7	WNT
Wnt10a	LRinteraction	Fzd8	WNT
Wnt10a	LRinteraction	Fzd9	WNT
Wnt10b	LRinteraction	Fzd1	WNT
Wnt10b	LRinteraction	Lrp5	WNT
Wnt10b	LRinteraction	Fzd10	WNT
Wnt10b	LRinteraction	Fzd2	WNT
Wnt10b	LRinteraction	Fzd3	WNT
Wnt10b	LRinteraction	Fzd4	WNT
Wnt10b	LRinteraction	Fzd5	WNT
Wnt10b	LRinteraction	Fzd6	WNT
Wnt10b	LRinteraction	Fzd7	WNT
Wnt10b	LRinteraction	Fzd8	WNT
Wnt10b	LRinteraction	Fzd9	WNT
Wnt16	LRinteraction	Fzd1	WNT
Wnt16	LRinteraction	Lrp5	WNT
Wnt16	LRinteraction	Fzd10	WNT
Wnt16	LRinteraction	Fzd2	WNT
Wnt16	LRinteraction	Fzd3	WNT
Wnt16	LRinteraction	Fzd4	WNT
Wnt16	LRinteraction	Fzd5	WNT
Wnt16	LRinteraction	Fzd6	WNT
Wnt16	LRinteraction	Fzd7	WNT
Wnt16	LRinteraction	Fzd8	WNT
Wnt16	LRinteraction	Fzd9	WNT
Wnt2	LRinteraction	Fzd1	WNT
Wnt2	LRinteraction	Lrp5	WNT
Wnt2	LRinteraction	Fzd10	WNT
Wnt2	LRinteraction	Fzd2	WNT
Wnt2	LRinteraction	Fzd3	WNT
Wnt2	LRinteraction	Fzd4	WNT
Wnt2	LRinteraction	Fzd5	WNT
Wnt2	LRinteraction	Fzd6	WNT
Wnt2	LRinteraction	Fzd7	WNT
Wnt2	LRinteraction	Fzd8	WNT
Wnt2	LRinteraction	Fzd9	WNT
Wnt2b	LRinteraction	Fzd1	WNT
Wnt2b	LRinteraction	Lrp5	WNT
Wnt2b	LRinteraction	Fzd10	WNT
Wnt2b	LRinteraction	Fzd2	WNT
Wnt2b	LRinteraction	Fzd3	WNT
Wnt2b	LRinteraction	Fzd4	WNT
Wnt2b	LRinteraction	Fzd5	WNT
Wnt2b	LRinteraction	Fzd6	WNT
Wnt2b	LRinteraction	Fzd7	WNT
Wnt2b	LRinteraction	Fzd8	WNT
Wnt2b	LRinteraction	Fzd9	WNT
Wnt3	LRinteraction	Fzd1	WNT
Wnt3	LRinteraction	Lrp5	WNT
Wnt3	LRinteraction	Fzd10	WNT
Wnt3	LRinteraction	Fzd2	WNT
Wnt3	LRinteraction	Fzd3	WNT
Wnt3	LRinteraction	Fzd4	WNT
Wnt3	LRinteraction	Fzd5	WNT
Wnt3	LRinteraction	Fzd6	WNT
Wnt3	LRinteraction	Fzd7	WNT
Wnt3	LRinteraction	Fzd8	WNT
Wnt3	LRinteraction	Fzd9	WNT
Wnt3a	LRinteraction	Fzd1	WNT
Wnt3a	LRinteraction	Lrp5	WNT
Wnt3a	LRinteraction	Fzd10	WNT
Wnt3a	LRinteraction	Fzd2	WNT
Wnt3a	LRinteraction	Fzd3	WNT
Wnt3a	LRinteraction	Fzd4	WNT
Wnt3a	LRinteraction	Fzd5	WNT
Wnt3a	LRinteraction	Fzd6	WNT
Wnt3a	LRinteraction	Fzd7	WNT
Wnt3a	LRinteraction	Fzd8	WNT
Wnt3a	LRinteraction	Fzd9	WNT
Wnt4	LRinteraction	Fzd1	WNT
Wnt4	LRinteraction	Lrp5	WNT
Wnt4	LRinteraction	Fzd10	WNT
Wnt4	LRinteraction	Fzd2	WNT
Wnt4	LRinteraction	Fzd3	WNT
Wnt4	LRinteraction	Fzd4	WNT
Wnt4	LRinteraction	Fzd5	WNT
Wnt4	LRinteraction	Fzd6	WNT
Wnt4	LRinteraction	Fzd7	WNT
Wnt4	LRinteraction	Fzd8	WNT
Wnt4	LRinteraction	Fzd9	WNT
Wnt6	LRinteraction	Fzd1	WNT
Wnt6	LRinteraction	Lrp5	WNT
Wnt6	LRinteraction	Fzd10	WNT
Wnt6	LRinteraction	Fzd2	WNT
Wnt6	LRinteraction	Fzd3	WNT
Wnt6	LRinteraction	Fzd4	WNT
Wnt6	LRinteraction	Fzd5	WNT
Wnt6	LRinteraction	Fzd6	WNT
Wnt6	LRinteraction	Fzd7	WNT
Wnt6	LRinteraction	Fzd8	WNT
Wnt6	LRinteraction	Fzd9	WNT
Wnt7a	LRinteraction	Fzd1	WNT
Wnt7a	LRinteraction	Lrp5	WNT
Wnt7a	LRinteraction	Fzd10	WNT
Wnt7a	LRinteraction	Fzd2	WNT
Wnt7a	LRinteraction	Fzd3	WNT
Wnt7a	LRinteraction	Fzd4	WNT
Wnt7a	LRinteraction	Fzd5	WNT
Wnt7a	LRinteraction	Fzd6	WNT
Wnt7a	LRinteraction	Fzd7	WNT
Wnt7a	LRinteraction	Fzd8	WNT
Wnt7a	LRinteraction	Fzd9	WNT
Wnt7b	LRinteraction	Fzd1	WNT
Wnt7b	LRinteraction	Lrp5	WNT
Wnt7b	LRinteraction	Fzd10	WNT
Wnt7b	LRinteraction	Fzd2	WNT
Wnt7b	LRinteraction	Fzd3	WNT
Wnt7b	LRinteraction	Fzd4	WNT
Wnt7b	LRinteraction	Fzd5	WNT
Wnt7b	LRinteraction	Fzd6	WNT
Wnt7b	LRinteraction	Fzd7	WNT
Wnt7b	LRinteraction	Fzd8	WNT
Wnt7b	LRinteraction	Fzd9	WNT
Wnt8a	LRinteraction	Fzd1	WNT
Wnt8a	LRinteraction	Lrp5	WNT
Wnt8a	LRinteraction	Fzd10	WNT
Wnt8a	LRinteraction	Fzd2	WNT
Wnt8a	LRinteraction	Fzd3	WNT
Wnt8a	LRinteraction	Fzd4	WNT
Wnt8a	LRinteraction	Fzd5	WNT
Wnt8a	LRinteraction	Fzd6	WNT
Wnt8a	LRinteraction	Fzd7	WNT
Wnt8a	LRinteraction	Fzd8	WNT
Wnt8a	LRinteraction	Fzd9	WNT
Wnt8b	LRinteraction	Fzd1	WNT
Wnt8b	LRinteraction	Lrp5	WNT
Wnt8b	LRinteraction	Fzd10	WNT
Wnt8b	LRinteraction	Fzd2	WNT
Wnt8b	LRinteraction	Fzd3	WNT
Wnt8b	LRinteraction	Fzd4	WNT
Wnt8b	LRinteraction	Fzd5	WNT
Wnt8b	LRinteraction	Fzd6	WNT
Wnt8b	LRinteraction	Fzd7	WNT
Wnt8b	LRinteraction	Fzd8	WNT
Wnt8b	LRinteraction	Fzd9	WNT
Wnt9a	LRinteraction	Fzd1	WNT
Wnt9a	LRinteraction	Lrp5	WNT
Wnt9a	LRinteraction	Fzd10	WNT
Wnt9a	LRinteraction	Fzd2	WNT
Wnt9a	LRinteraction	Fzd3	WNT
Wnt9a	LRinteraction	Fzd4	WNT
Wnt9a	LRinteraction	Fzd5	WNT
Wnt9a	LRinteraction	Fzd6	WNT
Wnt9a	LRinteraction	Fzd7	WNT
Wnt9a	LRinteraction	Fzd8	WNT
Wnt9a	LRinteraction	Fzd9	WNT
Wnt9b	LRinteraction	Fzd1	WNT
Wnt9b	LRinteraction	Lrp5	WNT
Wnt9b	LRinteraction	Fzd10	WNT
Wnt9b	LRinteraction	Fzd2	WNT
Wnt9b	LRinteraction	Fzd3	WNT
Wnt9b	LRinteraction	Fzd4	WNT
Wnt9b	LRinteraction	Fzd5	WNT
Wnt9b	LRinteraction	Fzd6	WNT
Wnt9b	LRinteraction	Fzd7	WNT
Wnt9b	LRinteraction	Fzd8	WNT
Wnt9b	LRinteraction	Fzd9	WNT
Wnt1	LRinteraction	Lrp6	WNT
Wnt10a	LRinteraction	Lrp6	WNT
Wnt10b	LRinteraction	Lrp6	WNT
Wnt16	LRinteraction	Lrp6	WNT
Wnt2	LRinteraction	Lrp6	WNT
Wnt2b	LRinteraction	Lrp6	WNT
Wnt3	LRinteraction	Lrp6	WNT
Wnt3a	LRinteraction	Lrp6	WNT
Wnt4	LRinteraction	Lrp6	WNT
Wnt6	LRinteraction	Lrp6	WNT
Wnt7a	LRinteraction	Lrp6	WNT
Wnt7b	LRinteraction	Lrp6	WNT
Wnt8a	LRinteraction	Lrp6	WNT
Wnt8b	LRinteraction	Lrp6	WNT
Wnt9a	LRinteraction	Lrp6	WNT
Wnt9b	LRinteraction	Lrp6	WNT
Wnt5a	LRinteraction	Fzd1	ncWNT
Wnt5a	LRinteraction	Fzd10	ncWNT
Wnt5a	LRinteraction	Fzd2	ncWNT
Wnt5a	LRinteraction	Fzd3	ncWNT
Wnt5a	LRinteraction	Fzd4	ncWNT
Wnt5a	LRinteraction	Fzd5	ncWNT
Wnt5a	LRinteraction	Fzd6	ncWNT
Wnt5a	LRinteraction	Fzd7	ncWNT
Wnt5a	LRinteraction	Fzd8	ncWNT
Wnt5a	LRinteraction	Fzd9	ncWNT
Wnt5a	LRinteraction	Mcam	ncWNT
Wnt5b	LRinteraction	Fzd1	ncWNT
Wnt5b	LRinteraction	Fzd10	ncWNT
Wnt5b	LRinteraction	Fzd2	ncWNT
Wnt5b	LRinteraction	Fzd3	ncWNT
Wnt5b	LRinteraction	Fzd4	ncWNT
Wnt5b	LRinteraction	Fzd5	ncWNT
Wnt5b	LRinteraction	Fzd6	ncWNT
Wnt5b	LRinteraction	Fzd7	ncWNT
Wnt5b	LRinteraction	Fzd8	ncWNT
Wnt5b	LRinteraction	Fzd9	ncWNT
Wnt11	LRinteraction	Fzd1	ncWNT
Wnt11	LRinteraction	Fzd10	ncWNT
Wnt11	LRinteraction	Fzd2	ncWNT
Wnt11	LRinteraction	Fzd3	ncWNT
Wnt11	LRinteraction	Fzd4	ncWNT
Wnt11	LRinteraction	Fzd5	ncWNT
Wnt11	LRinteraction	Fzd6	ncWNT
Wnt11	LRinteraction	Fzd7	ncWNT
Wnt11	LRinteraction	Fzd8	ncWNT
Wnt11	LRinteraction	Fzd9	ncWNT
Egf	LRinteraction	Egfr	EGF
Egf	LRinteraction	Erbb2	EGF
Tgfa	LRinteraction	Egfr	EGF
Tgfa	LRinteraction	Erbb2	EGF
Areg	LRinteraction	Egfr	EGF
Areg	LRinteraction	Erbb2	EGF
Btc	LRinteraction	Egfr	EGF
Btc	LRinteraction	Erbb2	EGF
Btc	LRinteraction	Erbb4	EGF
Hbegf	LRinteraction	Egfr	EGF
Hbegf	LRinteraction	Erbb2	EGF
Hbegf	LRinteraction	Erbb4	EGF
Ereg	LRinteraction	Egfr	EGF
Ereg	LRinteraction	Erbb2	EGF
Ereg	LRinteraction	Erbb4	EGF
Nrg1	LRinteraction	Erbb3	NRG
Nrg1	LRinteraction	Erbb2	NRG
Nrg1	LRinteraction	Erbb4	NRG
Nrg2	LRinteraction	Erbb3	NRG
Nrg2	LRinteraction	Erbb2	NRG
Nrg2	LRinteraction	Erbb4	NRG
Nrg3	LRinteraction	Erbb4	NRG
Nrg3	LRinteraction	Erbb2	NRG
Nrg4	LRinteraction	Erbb4	NRG
Nrg4	LRinteraction	Erbb2	NRG
Nrg1	LRinteraction	Itgav	NRG
Nrg1	LRinteraction	Itgb3	NRG
Fgf1	LRinteraction	Fgfr1	FGF
Fgf1	LRinteraction	Fgfr2	FGF
Fgf1	LRinteraction	Fgfr3	FGF
Fgf1	LRinteraction	Fgfr4	FGF
Fgf2	LRinteraction	Fgfr1	FGF
Fgf2	LRinteraction	Fgfr2	FGF
Fgf2	LRinteraction	Fgfr3	FGF
Fgf2	LRinteraction	Fgfr4	FGF
Fgf4	LRinteraction	Fgfr1	FGF
Fgf4	LRinteraction	Fgfr2	FGF
Fgf4	LRinteraction	Fgfr3	FGF
Fgf4	LRinteraction	Fgfr4	FGF
Fgf5	LRinteraction	Fgfr1	FGF
Fgf5	LRinteraction	Fgfr2	FGF
Fgf5	LRinteraction	Fgfr3	FGF
Fgf5	LRinteraction	Fgfr4	FGF
Fgf6	LRinteraction	Fgfr1	FGF
Fgf6	LRinteraction	Fgfr2	FGF
Fgf6	LRinteraction	Fgfr3	FGF
Fgf6	LRinteraction	Fgfr4	FGF
Fgf7	LRinteraction	Fgfr1	FGF
Fgf7	LRinteraction	Fgfr2	FGF
Fgf3	LRinteraction	Fgfr1	FGF
Fgf3	LRinteraction	Fgfr2	FGF
Fgf10	LRinteraction	Fgfr1	FGF
Fgf10	LRinteraction	Fgfr2	FGF
Fgf22	LRinteraction	Fgfr2	FGF
Fgf8	LRinteraction	Fgfr1	FGF
Fgf8	LRinteraction	Fgfr2	FGF
Fgf8	LRinteraction	Fgfr3	FGF
Fgf8	LRinteraction	Fgfr4	FGF
Fgf17	LRinteraction	Fgfr1	FGF
Fgf17	LRinteraction	Fgfr2	FGF
Fgf17	LRinteraction	Fgfr3	FGF
Fgf17	LRinteraction	Fgfr4	FGF
Fgf18	LRinteraction	Fgfr1	FGF
Fgf18	LRinteraction	Fgfr2	FGF
Fgf18	LRinteraction	Fgfr3	FGF
Fgf18	LRinteraction	Fgfr4	FGF
Fgf9	LRinteraction	Fgfr1	FGF
Fgf9	LRinteraction	Fgfr2	FGF
Fgf9	LRinteraction	Fgfr3	FGF
Fgf9	LRinteraction	Fgfr4	FGF
Fgf20	LRinteraction	Fgfr1	FGF
Fgf20	LRinteraction	Fgfr2	FGF
Fgf20	LRinteraction	Fgfr3	FGF
Fgf20	LRinteraction	Fgfr4	FGF
Fgf16	LRinteraction	Fgfr1	FGF
Fgf16	LRinteraction	Fgfr2	FGF
Fgf16	LRinteraction	Fgfr3	FGF
Fgf16	LRinteraction	Fgfr4	FGF
Fgf15	LRinteraction	Fgfr1	FGF
Fgf15	LRinteraction	Fgfr2	FGF
Fgf15	LRinteraction	Fgfr3	FGF
Fgf15	LRinteraction	Fgfr4	FGF
Fgf21	LRinteraction	Fgfr1	FGF
Fgf21	LRinteraction	Fgfr3	FGF
Fgf23	LRinteraction	Fgfr1	FGF
Fgf23	LRinteraction	Fgfr3	FGF
Fgf23	LRinteraction	Fgfr4	FGF
Pdgfa	LRinteraction	Pdgfra	PDGF
Pdgfa	LRinteraction	Pdgfrb	PDGF
Pdgfb	LRinteraction	Pdgfra	PDGF
Pdgfb	LRinteraction	Pdgfrb	PDGF
Pdgfc	LRinteraction	Pdgfra	PDGF
Pdgfd	LRinteraction	Pdgfrb	PDGF
Vegfa	LRinteraction	Vegfr1	VEGF
Vegfa	LRinteraction	Vegfr2	VEGF
Vegfb	LRinteraction	Vegfr1	VEGF
Vegfc	LRinteraction	Vegfr3	VEGF
Vegfc	LRinteraction	Vegfr2	VEGF
